Search interest in same sex marriage by city on 6/26,,,,
"All values indexed to 100, where 100 is the max search interest",,,,
City,State,Country,Indexed Search Interest,Time in EST
Roswell,Georgia,United States,2.1,11:28 AM
Menifee,California,United States,2.1,11:28 AM
Indianapolis,Indiana,United States,2.0,11:28 AM
Cincinnati,Ohio,United States,2.0,11:28 AM
Boston,Massachusetts,United States,1.8,11:28 AM
Philadelphia,Pennsylvania,United States,1.8,11:28 AM
Myrtle Beach,South Carolina,United States,1.8,11:28 AM
Paradise,Nevada,United States,1.8,11:28 AM
Miami,Florida,United States,1.7,11:28 AM
Columbus,Ohio,United States,1.6,11:28 AM
New York,New York,United States,1.6,11:28 AM
Washington,District of Columbia,United States,1.6,11:28 AM
Hauppauge,New York,United States,1.6,11:28 AM
Kennesaw,Georgia,United States,1.6,11:28 AM
Tampa,Florida,United States,1.6,11:28 AM
Healdsburg,California,United States,1.6,11:28 AM
St. Louis Park,Minnesota,United States,1.6,11:28 AM
Springfield,Massachusetts,United States,1.6,11:28 AM
Pontiac,Michigan,United States,1.6,11:28 AM
Cambridge,Massachusetts,United States,1.6,11:28 AM
Fort Lauderdale,Florida,United States,1.6,11:28 AM
Santa Clarita,California,United States,1.6,11:28 AM
Aurora,Illinois,United States,1.6,11:28 AM
Rancho Cucamonga,California,United States,1.6,11:28 AM
North Bethesda,Maryland,United States,1.6,11:28 AM
Morro Bay,California,United States,1.6,11:28 AM
Kannapolis,North Carolina,United States,1.6,11:28 AM
Quincy,Massachusetts,United States,1.6,11:28 AM
Parkersburg,West Virginia,United States,1.6,11:28 AM
Vancouver,Washington,United States,1.6,11:28 AM
Sandy,Utah,United States,1.6,11:28 AM
Bohemia,New York,United States,1.6,11:28 AM
New Milford,Connecticut,United States,1.6,11:28 AM
San Carlos,California,United States,1.6,11:28 AM
Hillsboro,Oregon,United States,1.6,11:28 AM
Fitchburg,Wisconsin,United States,1.6,11:28 AM
Chardon,Ohio,United States,1.6,11:28 AM
Kendall,Florida,United States,1.6,11:28 AM
Harrisburg,Pennsylvania,United States,1.6,11:28 AM
Orangevale,California,United States,1.6,11:28 AM
Alachua,Florida,United States,1.6,11:28 AM
Boca Raton,Florida,United States,1.6,11:28 AM
Mooresville,North Carolina,United States,1.6,11:28 AM
Fresno,California,United States,1.6,11:28 AM
Slidell,Louisiana,United States,1.6,11:28 AM
Yelm,Washington,United States,1.6,11:28 AM
Bethel Park,Pennsylvania,United States,1.6,11:28 AM
Knoxville,Tennessee,United States,1.6,11:28 AM
Doral,Florida,United States,1.6,11:28 AM
Saint Paul,Minnesota,United States,1.6,11:28 AM
El Segundo,California,United States,1.6,11:28 AM
Los Angeles,California,United States,1.5,11:28 AM
Atlanta,Georgia,United States,1.5,11:28 AM
Albuquerque,New Mexico,United States,1.4,11:28 AM
Albany,New York,United States,1.3,11:28 AM
St. Petersburg,Florida,United States,1.3,11:28 AM
New Orleans,Louisiana,United States,1.3,11:28 AM
Hialeah,Florida,United States,1.3,11:28 AM
Jacksonville,Florida,United States,1.3,11:28 AM
Sheridan,Oregon,United States,1.3,11:28 AM
Tulsa,Oklahoma,United States,1.3,11:28 AM
San Antonio,Texas,United States,1.3,11:28 AM
Minneapolis,Minnesota,United States,1.3,11:28 AM
Arlington,Texas,United States,1.3,11:28 AM
Chicago,Illinois,United States,1.3,11:28 AM
West Memphis,Arkansas,United States,1.3,11:28 AM
San Diego,California,United States,1.3,11:28 AM
Louisville,Kentucky,United States,1.2,11:28 AM
Charlotte,North Carolina,United States,1.2,11:28 AM
Baltimore,Maryland,United States,1.2,11:28 AM
Nashville,Tennessee,United States,1.1,11:28 AM
Orlando,Florida,United States,1.1,11:28 AM
Richmond,Virginia,United States,1.1,11:28 AM
Columbus,Georgia,United States,1.0,11:28 AM
Sandy Springs,Georgia,United States,1.0,11:28 AM
El Paso,Texas,United States,1.0,11:28 AM
Beaumont,Texas,United States,1.0,11:28 AM
Clearwater,Florida,United States,1.0,11:28 AM
Athens,Ohio,United States,1.0,11:28 AM
Lakewood,Colorado,United States,1.0,11:28 AM
Raleigh,North Carolina,United States,1.0,11:28 AM
Palm Beach Gardens,Florida,United States,1.0,11:28 AM
Wapwallopen,Pennsylvania,United States,1.0,11:28 AM
Huntsville,Alabama,United States,1.0,11:28 AM
Torrance,California,United States,1.0,11:28 AM
Jackson,Mississippi,United States,1.0,11:28 AM
Holly Hill,Florida,United States,1.0,11:28 AM
Grand Rapids,Michigan,United States,1.0,11:28 AM
Roanoke,Virginia,United States,1.0,11:28 AM
Newport Beach,California,United States,1.0,11:28 AM
Virginia Beach,Virginia,United States,1.0,11:28 AM
Salt Lake City,Utah,United States,0.9,11:28 AM
McAllen,Texas,United States,0.9,11:28 AM
Blacksburg,Virginia,United States,0.9,11:28 AM
Yonkers,New York,United States,0.9,11:28 AM
Santa Clara,California,United States,0.8,11:28 AM
Hays,Kansas,United States,0.8,11:28 AM
Omaha,Nebraska,United States,0.8,11:28 AM
Jersey City,New Jersey,United States,0.8,11:28 AM
Boise,Idaho,United States,0.8,11:28 AM
Naperville,Illinois,United States,0.8,11:28 AM
King of Prussia,Pennsylvania,United States,0.8,11:28 AM
Denver,Colorado,United States,0.8,11:28 AM
Phoenix,Arizona,United States,0.7,11:28 AM
Ann Arbor,Michigan,United States,0.7,11:28 AM
Kansas City,Missouri,United States,0.7,11:28 AM
Tucson,Arizona,United States,0.7,11:28 AM
Rochester,Minnesota,United States,0.7,11:28 AM
Norfolk,Virginia,United States,0.7,11:28 AM
Akron,Ohio,United States,0.7,11:28 AM
Springfield,Missouri,United States,0.7,11:28 AM
Buffalo,New York,United States,0.6,11:28 AM
Irving,Texas,United States,0.6,11:28 AM
Bakersfield,California,United States,0.6,11:28 AM
Durham,North Carolina,United States,0.6,11:28 AM
Pittsburgh,Pennsylvania,United States,0.6,11:28 AM
Milwaukee,Wisconsin,United States,0.6,11:28 AM
West Palm Beach,Florida,United States,0.5,11:28 AM
Columbia,Maryland,United States,0.5,11:28 AM
Cleveland,Ohio,United States,0.5,11:28 AM
New Alexandria,Pennsylvania,United States,0.4,11:28 AM
Port St. Lucie,Florida,United States,0.4,11:28 AM
Oklahoma City,Oklahoma,United States,0.4,11:28 AM
Macon,Georgia,United States,0.4,11:28 AM
Eden Prairie,Minnesota,United States,0.3,11:28 AM
McDonough,Georgia,United States,12.5,11:29 AM
Royal Oak,Michigan,United States,12.5,11:29 AM
Iowa City,Iowa,United States,9.4,11:29 AM
Mason,Ohio,United States,9.4,11:29 AM
Southfield,Michigan,United States,9.4,11:29 AM
West Lake Hills,Texas,United States,9.4,11:29 AM
Danbury,Connecticut,United States,9.4,11:29 AM
Kirkland,Washington,United States,9.4,11:29 AM
El Segundo,California,United States,6.3,11:29 AM
Redwood City,California,United States,6.3,11:29 AM
Spotsylvania,Virginia,United States,6.3,11:29 AM
Franklin,Tennessee,United States,6.3,11:29 AM
Panama City Beach,Florida,United States,6.3,11:29 AM
Victoria,Texas,United States,6.3,11:29 AM
Livermore,California,United States,6.3,11:29 AM
Southlake,Texas,United States,6.3,11:29 AM
Franklin,Massachusetts,United States,6.3,11:29 AM
Melbourne,Florida,United States,6.3,11:29 AM
Ashland,Kentucky,United States,6.3,11:29 AM
Indian Trail,North Carolina,United States,6.3,11:29 AM
Hilton Head Island,South Carolina,United States,6.3,11:29 AM
West Memphis,Arkansas,United States,6.3,11:29 AM
Gahanna,Ohio,United States,6.3,11:29 AM
Old Bridge Township,New Jersey,United States,6.3,11:29 AM
Carrollton,Texas,United States,6.3,11:29 AM
Gulfport,Mississippi,United States,6.3,11:29 AM
Deer Park,New York,United States,6.3,11:29 AM
Allen,Texas,United States,6.3,11:29 AM
Tuttle,Oklahoma,United States,6.3,11:29 AM
Naperville,Illinois,United States,6.3,11:29 AM
St. Augustine South,Florida,United States,6.3,11:29 AM
Huntsville,Alabama,United States,6.3,11:29 AM
Stony Brook,New York,United States,6.3,11:29 AM
Amarillo,Texas,United States,6.3,11:29 AM
The Woodlands,Texas,United States,6.3,11:29 AM
West University Place,Texas,United States,6.3,11:29 AM
Bethlehem,Pennsylvania,United States,6.3,11:29 AM
Rosenberg,Texas,United States,6.3,11:29 AM
Vancouver,Washington,United States,6.3,11:29 AM
North Marysville,Washington,United States,6.3,11:29 AM
Covington,Louisiana,United States,6.3,11:29 AM
Overland Park,Kansas,United States,6.3,11:29 AM
Port Huron,Michigan,United States,6.3,11:29 AM
Las Vegas,Nevada,United States,6.3,11:29 AM
Leesburg,Virginia,United States,5.2,11:29 AM
Wapwallopen,Pennsylvania,United States,5.2,11:29 AM
Saint Paul,Minnesota,United States,5.0,11:29 AM
El Cajon,California,United States,4.7,11:29 AM
Lafayette,Louisiana,United States,4.7,11:29 AM
Yountville,California,United States,4.7,11:29 AM
Kalamazoo,Michigan,United States,4.7,11:29 AM
Duluth,Georgia,United States,4.7,11:29 AM
Jersey City,New Jersey,United States,4.7,11:29 AM
Newton,Massachusetts,United States,4.7,11:29 AM
Stockton,California,United States,4.7,11:29 AM
Springfield,Illinois,United States,4.7,11:29 AM
Largo,Florida,United States,4.7,11:29 AM
Beckett Ridge,Ohio,United States,4.7,11:29 AM
Belfair,Washington,United States,4.7,11:29 AM
Alexandria,Virginia,United States,4.2,11:29 AM
Lexington,Kentucky,United States,4.2,11:29 AM
Arlington,Virginia,United States,3.6,11:29 AM
Madison,Wisconsin,United States,3.5,11:29 AM
Falmouth,Massachusetts,United States,3.1,11:29 AM
Rocky River,Ohio,United States,3.1,11:29 AM
Egg Harbor Township,New Jersey,United States,3.1,11:29 AM
Blue Bell,Pennsylvania,United States,3.1,11:29 AM
Chardon,Ohio,United States,3.1,11:29 AM
Flower Mound,Texas,United States,3.1,11:29 AM
North Branch,Minnesota,United States,3.1,11:29 AM
Yorba Linda,California,United States,3.1,11:29 AM
Germantown,Wisconsin,United States,3.1,11:29 AM
Ithaca,New York,United States,3.1,11:29 AM
Red Wing,Minnesota,United States,3.1,11:29 AM
North Bethesda,Maryland,United States,3.1,11:29 AM
Grants Pass,Oregon,United States,3.1,11:29 AM
North Adams,Massachusetts,United States,3.1,11:29 AM
Altoona,Pennsylvania,United States,3.1,11:29 AM
Mount Lebanon,Pennsylvania,United States,3.1,11:29 AM
New Alexandria,Pennsylvania,United States,3.1,11:29 AM
Tacoma,Washington,United States,3.1,11:29 AM
Rocky Mount,Virginia,United States,3.1,11:29 AM
Covert,Michigan,United States,3.1,11:29 AM
Belton,Texas,United States,3.1,11:29 AM
Appleton,Wisconsin,United States,3.1,11:29 AM
Hauppauge,New York,United States,3.1,11:29 AM
Lakeview Estates,Georgia,United States,3.1,11:29 AM
West Palm Beach,Florida,United States,3.1,11:29 AM
Wake Village,Texas,United States,3.1,11:29 AM
Union Park,Florida,United States,3.1,11:29 AM
Lexington,Massachusetts,United States,3.1,11:29 AM
Stamford,Connecticut,United States,3.1,11:29 AM
South Salt Lake,Utah,United States,3.1,11:29 AM
Cary,North Carolina,United States,3.1,11:29 AM
Hopewell Township,New Jersey,United States,3.1,11:29 AM
Attleboro,Massachusetts,United States,3.1,11:29 AM
Tyler,Texas,United States,3.1,11:29 AM
Valdosta,Georgia,United States,3.1,11:29 AM
Binghamton,New York,United States,3.1,11:29 AM
Rocky Hill,Connecticut,United States,3.1,11:29 AM
Wentzville,Missouri,United States,3.1,11:29 AM
Statesboro,Georgia,United States,3.1,11:29 AM
Creve Coeur,Missouri,United States,3.1,11:29 AM
Santa Fe Springs,California,United States,3.1,11:29 AM
Lexington,Tennessee,United States,3.1,11:29 AM
Henderson,Tennessee,United States,3.1,11:29 AM
Miamisburg,Ohio,United States,3.1,11:29 AM
East Highland Park,Virginia,United States,3.1,11:29 AM
Victor,New York,United States,3.1,11:29 AM
Mooresville,North Carolina,United States,3.1,11:29 AM
Oakdale,Minnesota,United States,3.1,11:29 AM
Bowling Green,Kentucky,United States,3.1,11:29 AM
Sheldon,Texas,United States,3.1,11:29 AM
Wesley Chapel,Florida,United States,3.1,11:29 AM
San Juan,Texas,United States,3.1,11:29 AM
Hawthorne,California,United States,3.1,11:29 AM
Hamilton City,California,United States,3.1,11:29 AM
Northfield,Minnesota,United States,3.1,11:29 AM
Catalina,Arizona,United States,3.1,11:29 AM
West Hartford,Connecticut,United States,3.1,11:29 AM
Paducah,Kentucky,United States,3.1,11:29 AM
Smyrna,Georgia,United States,3.1,11:29 AM
Cheswold,Delaware,United States,3.1,11:29 AM
Conyers,Georgia,United States,3.1,11:29 AM
New Milford,Connecticut,United States,3.1,11:29 AM
Eugene,Oregon,United States,3.1,11:29 AM
Shreveport,Louisiana,United States,3.1,11:29 AM
Dentsville,South Carolina,United States,3.1,11:29 AM
Avon,Ohio,United States,3.1,11:29 AM
Missoula,Montana,United States,3.1,11:29 AM
Citrus Heights,California,United States,3.1,11:29 AM
Prescott,Arizona,United States,3.1,11:29 AM
Baltimore,Maryland,United States,3.1,11:29 AM
Pensacola,Florida,United States,3.1,11:29 AM
Bellflower,California,United States,3.1,11:29 AM
Monrovia,California,United States,3.1,11:29 AM
St. Charles,Maryland,United States,3.1,11:29 AM
Yonkers,New York,United States,2.6,11:29 AM
Ann Arbor,Michigan,United States,2.6,11:29 AM
Dayton,Ohio,United States,2.5,11:29 AM
Carlsbad,California,United States,2.3,11:29 AM
Miami,Florida,United States,2.3,11:29 AM
Allentown,Pennsylvania,United States,2.3,11:29 AM
Superior,Colorado,United States,2.3,11:29 AM
Framingham,Massachusetts,United States,2.3,11:29 AM
Cincinnati,Ohio,United States,2.3,11:29 AM
Minneapolis,Minnesota,United States,2.3,11:29 AM
San Francisco,California,United States,2.2,11:29 AM
St. Petersburg,Florida,United States,2.2,11:29 AM
Los Angeles,California,United States,2.2,11:29 AM
Plano,Texas,United States,2.2,11:29 AM
Orlando,Florida,United States,2.2,11:29 AM
Dallas,Texas,United States,2.1,11:29 AM
Fort Wayne,Indiana,United States,2.1,11:29 AM
Port St. Lucie,Florida,United States,2.1,11:29 AM
Garland,Texas,United States,2.1,11:29 AM
Virginia Beach,Virginia,United States,2.1,11:29 AM
Williamsburg,Virginia,United States,2.1,11:29 AM
Santa Clarita,California,United States,2.1,11:29 AM
Cedar Rapids,Iowa,United States,2.1,11:29 AM
Knoxville,Tennessee,United States,2.1,11:29 AM
McAllen,Texas,United States,2.1,11:29 AM
Portland,Oregon,United States,2.0,11:29 AM
Kansas City,Missouri,United States,2.0,11:29 AM
Jacksonville,Florida,United States,2.0,11:29 AM
Montgomery,Alabama,United States,1.9,11:29 AM
Denver,Colorado,United States,1.9,11:29 AM
Greensboro,North Carolina,United States,1.9,11:29 AM
Arlington,Texas,United States,1.9,11:29 AM
Hyattsville,Maryland,United States,1.9,11:29 AM
Sacramento,California,United States,1.8,11:29 AM
Durham,North Carolina,United States,1.8,11:29 AM
Quincy,Massachusetts,United States,1.8,11:29 AM
Newark,New Jersey,United States,1.8,11:29 AM
Long Beach,California,United States,1.8,11:29 AM
Boston,Massachusetts,United States,1.8,11:29 AM
San Antonio,Texas,United States,1.7,11:29 AM
Mountain View,California,United States,1.7,11:29 AM
Houston,Texas,United States,1.7,11:29 AM
Omaha,Nebraska,United States,1.7,11:29 AM
New York,New York,United States,1.7,11:29 AM
Stonington,Connecticut,United States,1.6,11:29 AM
Ames,Iowa,United States,1.6,11:29 AM
Clarksburg,Maryland,United States,1.6,11:29 AM
Woodbury,Minnesota,United States,1.6,11:29 AM
Fair Plain,Michigan,United States,1.6,11:29 AM
Horizon City,Texas,United States,1.6,11:29 AM
North Versailles,Pennsylvania,United States,1.6,11:29 AM
New Orleans,Louisiana,United States,1.6,11:29 AM
St. Robert,Missouri,United States,1.6,11:29 AM
Colonial Heights,Virginia,United States,1.6,11:29 AM
Eden Prairie,Minnesota,United States,1.6,11:29 AM
Carmel,Indiana,United States,1.6,11:29 AM
Lake Forest,Illinois,United States,1.6,11:29 AM
Brookhaven,Georgia,United States,1.6,11:29 AM
Grand Rapids,Michigan,United States,1.6,11:29 AM
Pasadena,Texas,United States,1.6,11:29 AM
Butler,Pennsylvania,United States,1.6,11:29 AM
Palmetto Estates,Florida,United States,1.6,11:29 AM
Macon,Georgia,United States,1.6,11:29 AM
Tulsa,Oklahoma,United States,1.6,11:29 AM
Fishers,Indiana,United States,1.6,11:29 AM
Bloomington,Indiana,United States,1.6,11:29 AM
Johnstown,Pennsylvania,United States,1.6,11:29 AM
Stanford,California,United States,1.6,11:29 AM
Fayetteville,Arkansas,United States,1.6,11:29 AM
Cambridge,Massachusetts,United States,1.6,11:29 AM
Torrance,California,United States,1.6,11:29 AM
Springfield,Missouri,United States,1.6,11:29 AM
Waco,Texas,United States,1.6,11:29 AM
Golden Valley,Minnesota,United States,1.6,11:29 AM
Chula Vista,California,United States,1.6,11:29 AM
Jackson,Mississippi,United States,1.6,11:29 AM
Greenwich,Connecticut,United States,1.6,11:29 AM
Bay Lake,Florida,United States,1.6,11:29 AM
Columbia,Maryland,United States,1.6,11:29 AM
North Charleston,South Carolina,United States,1.6,11:29 AM
Sharonville,Ohio,United States,1.6,11:29 AM
Altamonte Springs,Florida,United States,1.6,11:29 AM
Stillwater,Oklahoma,United States,1.6,11:29 AM
Parma,Ohio,United States,1.6,11:29 AM
Louisville,Kentucky,United States,1.6,11:29 AM
Salisbury,North Carolina,United States,1.6,11:29 AM
Ypsilanti Township,Michigan,United States,1.6,11:29 AM
Dearborn,Michigan,United States,1.6,11:29 AM
Kennewick,Washington,United States,1.6,11:29 AM
Alpharetta,Georgia,United States,1.6,11:29 AM
Kent Acres,Delaware,United States,1.6,11:29 AM
Boca Raton,Florida,United States,1.6,11:29 AM
Centertown,Missouri,United States,1.6,11:29 AM
Kamas,Utah,United States,1.6,11:29 AM
Anaheim,California,United States,1.6,11:29 AM
Santa Monica,California,United States,1.6,11:29 AM
Huntington Beach,California,United States,1.6,11:29 AM
Aurora,Illinois,United States,1.6,11:29 AM
Rincon,Georgia,United States,1.6,11:29 AM
Sandy Springs,Georgia,United States,1.6,11:29 AM
Milford,Connecticut,United States,1.6,11:29 AM
Detroit,Michigan,United States,1.5,11:29 AM
Philadelphia,Pennsylvania,United States,1.4,11:29 AM
Toledo,Ohio,United States,1.4,11:29 AM
Buffalo,New York,United States,1.4,11:29 AM
Miami Beach,Florida,United States,1.4,11:29 AM
Nashville,Tennessee,United States,1.4,11:29 AM
San Diego,California,United States,1.4,11:29 AM
Bridgewater,New Jersey,United States,1.3,11:29 AM
Columbus,Ohio,United States,1.3,11:29 AM
Corpus Christi,Texas,United States,1.3,11:29 AM
San Jose,California,United States,1.3,11:29 AM
Norfolk,Virginia,United States,1.3,11:29 AM
Mesa,Arizona,United States,1.3,11:29 AM
Washington,District of Columbia,United States,1.3,11:29 AM
Austin,Texas,United States,1.3,11:29 AM
Atlanta,Georgia,United States,1.3,11:29 AM
Memphis,Tennessee,United States,1.3,11:29 AM
Little Rock,Arkansas,United States,1.3,11:29 AM
Greenville,North Carolina,United States,1.3,11:29 AM
Newport Beach,California,United States,1.3,11:29 AM
Gilbert,Arizona,United States,1.3,11:29 AM
Sheridan,Oregon,United States,1.2,11:29 AM
St. Louis,Missouri,United States,1.2,11:29 AM
Larkspur,California,United States,1.2,11:29 AM
Chicago,Illinois,United States,1.1,11:29 AM
Cleveland,Ohio,United States,1.0,11:29 AM
Grapevine,Texas,United States,1.0,11:29 AM
Worcester,Massachusetts,United States,1.0,11:29 AM
Spokane,Washington,United States,1.0,11:29 AM
Lakewood,Colorado,United States,1.0,11:29 AM
Bellevue,Washington,United States,1.0,11:29 AM
Doral,Florida,United States,1.0,11:29 AM
Boise,Idaho,United States,1.0,11:29 AM
Everett,Washington,United States,1.0,11:29 AM
Frisco,Texas,United States,1.0,11:29 AM
Rochester,Minnesota,United States,1.0,11:29 AM
Spring Valley,Nevada,United States,1.0,11:29 AM
Midland,Texas,United States,1.0,11:29 AM
Sanford,Florida,United States,1.0,11:29 AM
Seattle,Washington,United States,1.0,11:29 AM
Phoenix,Arizona,United States,1.0,11:29 AM
Round Rock,Texas,United States,1.0,11:29 AM
Richardson,Texas,United States,1.0,11:29 AM
Kent,Ohio,United States,1.0,11:29 AM
Milwaukee,Wisconsin,United States,1.0,11:29 AM
Raleigh,North Carolina,United States,1.0,11:29 AM
Pittsburgh,Pennsylvania,United States,0.9,11:29 AM
Oklahoma City,Oklahoma,United States,0.9,11:29 AM
Rochester,New York,United States,0.9,11:29 AM
Paradise,Nevada,United States,0.9,11:29 AM
Richmond,Virginia,United States,0.9,11:29 AM
Salt Lake City,Utah,United States,0.8,11:29 AM
Concord,New Hampshire,United States,0.8,11:29 AM
Johnson City,Tennessee,United States,0.8,11:29 AM
South Bend,Indiana,United States,0.8,11:29 AM
Scottsdale,Arizona,United States,0.8,11:29 AM
Blacksburg,Virginia,United States,0.8,11:29 AM
Holly Hill,Florida,United States,0.8,11:29 AM
Charlotte,North Carolina,United States,0.8,11:29 AM
Chesapeake,Virginia,United States,0.8,11:29 AM
Oakland,California,United States,0.8,11:29 AM
Tampa,Florida,United States,0.8,11:29 AM
Wauwatosa,Wisconsin,United States,0.8,11:29 AM
Tempe,Arizona,United States,0.8,11:29 AM
Harrisburg,Pennsylvania,United States,0.8,11:29 AM
Fort Worth,Texas,United States,0.7,11:29 AM
Albany,New York,United States,0.7,11:29 AM
Plantation,Florida,United States,0.6,11:29 AM
Newport,South Carolina,United States,0.6,11:29 AM
Des Moines,Iowa,United States,0.6,11:29 AM
Ontario,California,United States,0.6,11:29 AM
Indianapolis,Indiana,United States,0.6,11:29 AM
Birmingham,Alabama,United States,0.6,11:29 AM
Asheville,North Carolina,United States,0.5,11:29 AM
Albuquerque,New Mexico,United States,0.4,11:29 AM
Myrtle Beach,South Carolina,United States,0.3,11:29 AM
Asheville,North Carolina,United States,15.6,11:30 AM
Jersey City,New Jersey,United States,9.4,11:30 AM
North Las Vegas,Nevada,United States,9.4,11:30 AM
Farmington Hills,Michigan,United States,9.4,11:30 AM
Evesham Township,New Jersey,United States,9.4,11:30 AM
Duluth,Minnesota,United States,9.4,11:30 AM
Ontario,California,United States,9.4,11:30 AM
Johnson City,Tennessee,United States,9.4,11:30 AM
Knoxville,Tennessee,United States,6.3,11:30 AM
Charter Township of Clinton,Michigan,United States,6.3,11:30 AM
Oxford,Mississippi,United States,6.3,11:30 AM
Irvine,California,United States,6.3,11:30 AM
Ramona,California,United States,6.3,11:30 AM
Bedford,Texas,United States,6.3,11:30 AM
Berkeley,California,United States,6.3,11:30 AM
Fargo,North Dakota,United States,6.3,11:30 AM
Newton,Massachusetts,United States,6.3,11:30 AM
Lawrence,Kansas,United States,6.3,11:30 AM
Wilmington,North Carolina,United States,6.3,11:30 AM
Westfield,New York,United States,6.3,11:30 AM
Vallejo,California,United States,6.3,11:30 AM
Springfield Township,New Jersey,United States,6.3,11:30 AM
Hamilton Township,New Jersey,United States,6.3,11:30 AM
Newnan,Georgia,United States,6.3,11:30 AM
Reno,Nevada,United States,6.3,11:30 AM
Cape Coral,Florida,United States,6.3,11:30 AM
Norwalk,Connecticut,United States,6.3,11:30 AM
Naperville,Illinois,United States,6.3,11:30 AM
Newington,Virginia,United States,6.3,11:30 AM
Mayfield Heights,Ohio,United States,6.3,11:30 AM
Troy,Michigan,United States,6.3,11:30 AM
Beverly Hills,California,United States,6.3,11:30 AM
Gilbert,Arizona,United States,6.3,11:30 AM
Boylston,Massachusetts,United States,6.3,11:30 AM
Stephenville,Texas,United States,6.3,11:30 AM
Fuquay-Varina,North Carolina,United States,6.3,11:30 AM
Novato,California,United States,6.3,11:30 AM
Newark,California,United States,6.3,11:30 AM
Rolling Meadows,Illinois,United States,6.3,11:30 AM
Wellington,Florida,United States,6.3,11:30 AM
Toledo,Ohio,United States,5.0,11:30 AM
Grand Rapids,Michigan,United States,4.9,11:30 AM
Panama City Beach,Florida,United States,4.7,11:30 AM
Beckett Ridge,Ohio,United States,4.7,11:30 AM
Blacksburg,Virginia,United States,4.7,11:30 AM
Cambridge,Massachusetts,United States,3.9,11:30 AM
Austin,Texas,United States,3.5,11:30 AM
Frisco,Texas,United States,3.1,11:30 AM
Bethany,Oklahoma,United States,3.1,11:30 AM
Sterling,Virginia,United States,3.1,11:30 AM
Edgewood,Ohio,United States,3.1,11:30 AM
Santa Barbara,California,United States,3.1,11:30 AM
Pine Hills,Florida,United States,3.1,11:30 AM
Cheval,Florida,United States,3.1,11:30 AM
Kent,Ohio,United States,3.1,11:30 AM
Brookpark,Ohio,United States,3.1,11:30 AM
Statesboro,Georgia,United States,3.1,11:30 AM
Charleston,South Carolina,United States,3.1,11:30 AM
Erie,Pennsylvania,United States,3.1,11:30 AM
Norcross,Georgia,United States,3.1,11:30 AM
Warner Robins,Georgia,United States,3.1,11:30 AM
Framingham,Massachusetts,United States,3.1,11:30 AM
Holly Hill,Florida,United States,3.1,11:30 AM
Janesville,Wisconsin,United States,3.1,11:30 AM
Beechwood,Michigan,United States,3.1,11:30 AM
Little Rock,Arkansas,United States,3.1,11:30 AM
Alpharetta,Georgia,United States,3.1,11:30 AM
Santa Clarita,California,United States,3.1,11:30 AM
Tucson,Arizona,United States,3.1,11:30 AM
Portland,Maine,United States,3.1,11:30 AM
Spokane,Washington,United States,3.1,11:30 AM
Auburn,Alabama,United States,3.1,11:30 AM
Bristol,Connecticut,United States,3.1,11:30 AM
Kansas City,Kansas,United States,3.1,11:30 AM
South Salt Lake,Utah,United States,3.1,11:30 AM
Cartersville,Georgia,United States,3.1,11:30 AM
Wake Village,Texas,United States,3.1,11:30 AM
Van Buren,Arkansas,United States,3.1,11:30 AM
Gibson,Arkansas,United States,3.1,11:30 AM
East Palo Alto,California,United States,3.1,11:30 AM
Manhasset,New York,United States,3.1,11:30 AM
Terre Haute,Indiana,United States,3.1,11:30 AM
North Lauderdale,Florida,United States,3.1,11:30 AM
Gilbert,South Carolina,United States,3.1,11:30 AM
Minnetonka,Minnesota,United States,3.1,11:30 AM
Goshen,California,United States,3.1,11:30 AM
Buford,Georgia,United States,3.1,11:30 AM
Stamford,Connecticut,United States,3.1,11:30 AM
Lake Havasu City,Arizona,United States,3.1,11:30 AM
El Segundo,California,United States,3.1,11:30 AM
Shawnee,Kansas,United States,3.1,11:30 AM
Spartanburg,South Carolina,United States,3.1,11:30 AM
Garland,Texas,United States,3.1,11:30 AM
Manchester Township,New Jersey,United States,3.1,11:30 AM
Jefferson,New Jersey,United States,3.1,11:30 AM
Pekin,Illinois,United States,3.1,11:30 AM
Belmont,Massachusetts,United States,3.1,11:30 AM
Braintree,Massachusetts,United States,3.1,11:30 AM
Ottawa,Kansas,United States,3.1,11:30 AM
Howell,Michigan,United States,3.1,11:30 AM
Pontiac,Michigan,United States,3.1,11:30 AM
Anchorage,Alaska,United States,3.1,11:30 AM
Atkinson,New Hampshire,United States,3.1,11:30 AM
Warrensburg,Missouri,United States,3.1,11:30 AM
Concord,Missouri,United States,3.1,11:30 AM
Clayton,Missouri,United States,3.1,11:30 AM
Madison,Alabama,United States,3.1,11:30 AM
Rye,New York,United States,3.1,11:30 AM
Bowling Green,Ohio,United States,3.1,11:30 AM
Galesburg,Illinois,United States,3.1,11:30 AM
Affton,Missouri,United States,3.1,11:30 AM
Frankfort,Kentucky,United States,3.1,11:30 AM
Arundel,Maine,United States,3.1,11:30 AM
Folly Beach,South Carolina,United States,3.1,11:30 AM
West Hartford,Connecticut,United States,3.1,11:30 AM
South San Francisco,California,United States,3.1,11:30 AM
Sanford,Florida,United States,3.1,11:30 AM
Medley,Florida,United States,3.1,11:30 AM
Centre,Alabama,United States,3.1,11:30 AM
Pasadena,California,United States,3.1,11:30 AM
Allen,Texas,United States,3.1,11:30 AM
Roseville,Minnesota,United States,3.1,11:30 AM
