City,Region,Country,Place combined,"""Help Nepal"", Indexed search interest (1-100)",Time (in GMT)
Bangalore,Karnataka,India,"Bangalore, India",0,4/26/15 5:28
Cha-am,Phetchaburi,Thailand,"Cha-am, Thailand",6,4/26/15 5:28
Cologne,North Rhine-Westphalia,Germany,"Cologne, Germany",0,4/26/15 5:28
Ferndale,Washington,United States,"Ferndale, United States",33,4/26/15 5:28
Golden Valley,Minnesota,United States,"Golden Valley, United States",1,4/26/15 5:28
Wellington,Wellington,New Zealand,"Wellington, New Zealand",0,4/26/15 5:28
Bloomington,Illinois,United States,"Bloomington, United States",4,4/26/15 5:29
Chisinau,Chisinau,Moldova,"Chisinau, Moldova",0,4/26/15 5:29
Faridkot,Punjab,India,"Faridkot, India",33,4/26/15 5:29
Helsinki,Uusimaa,Finland,"Helsinki, Finland",0,4/26/15 5:29
Melbourne,Victoria,Australia,"Melbourne, Australia",0,4/26/15 5:29
Tanyongmat,Narathiwat,Thailand,"Tanyongmat, Thailand",100,4/26/15 5:29
Whitby,Ontario,Canada,"Whitby, Canada",9,4/26/15 5:29
Bangkok,Bangkok,Thailand,"Bangkok, Thailand",0,4/26/15 5:31
Denver,Colorado,United States,"Denver, United States",0,4/26/15 5:31
Edmonton,Alberta,Canada,"Edmonton, Canada",0,4/26/15 5:31
Chicago,Illinois,United States,"Chicago, United States",0,4/26/15 5:33
Bhopal,Madhya Pradesh,India,"Bhopal, India",0,4/26/15 5:34
Fontana,California,United States,"Fontana, United States",1,4/26/15 5:34
Montreal,Quebec,Canada,"Montreal, Canada",0,4/26/15 5:34
Pokhara,Western Region,Nepal,"Pokhara, Nepal",2,4/26/15 5:34
Hampton,Maryland,United States,"Hampton, United States",50,4/26/15 5:35
Madison,Wisconsin,United States,"Madison, United States",1,4/26/15 5:35
San Francisco,California,United States,"San Francisco, United States",0,4/26/15 5:35
Fergus,Ontario,Canada,"Fergus, Canada",25,4/26/15 5:36
Kathmandu,Central Region,Nepal,"Kathmandu, Nepal",1,4/26/15 5:36
Melbourne,Victoria,Australia,"Melbourne, Australia",0,4/26/15 5:36
Modesto,California,United States,"Modesto, United States",2,4/26/15 5:36
Osaka,Osaka Prefecture,Japan,"Osaka, Japan",0,4/26/15 5:36
Perth,Western Australia,Australia,"Perth, Australia",0,4/26/15 5:36
Bangkok,Bangkok,Thailand,"Bangkok, Thailand",0,4/26/15 5:37
Charlotte,North Carolina,United States,"Charlotte, United States",0,4/26/15 5:37
Jersey City,New Jersey,United States,"Jersey City, United States",3,4/26/15 5:37
New Delhi,Delhi,India,"New Delhi, India",0,4/26/15 5:37
New York,New York,United States,"New York, United States",0,4/26/15 5:37
Fa Ham,Chiang Mai,Thailand,"Fa Ham, Thailand",100,4/26/15 5:38
Homagama,Western Province,Sri Lanka,"Homagama, Sri Lanka",0,4/26/15 5:38
Krakow,Lesser Poland Voivodeship,Poland,"Krakow, Poland",0,4/26/15 5:38
Mount Stoker,Otago,New Zealand,"Mount Stoker, New Zealand",33,4/26/15 5:38
New Orleans,Louisiana,United States,"New Orleans, United States",2,4/26/15 5:38
San Francisco,California,United States,"San Francisco, United States",0,4/26/15 5:38
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/26/15 5:38
Auckland,Auckland,New Zealand,"Auckland, New Zealand",0,4/26/15 5:39
Karlsruhe,Baden-Wurttemberg,Germany,"Karlsruhe, Germany",1,4/26/15 5:39
Mueang Nuea,Si Sa Ket,Thailand,"Mueang Nuea, Thailand",50,4/26/15 5:39
Auburn,New York,United States,"Auburn, United States",33,4/26/15 5:40
Dubai,Dubai,United Arab Emirates,"Dubai, United Arab Emirates",0,4/26/15 5:40
Lemvig,Central Denmark Region,Denmark,"Lemvig, Denmark",50,4/26/15 5:40
Melbourne,Victoria,Australia,"Melbourne, Australia",0,4/26/15 5:40
Abbotsford,British Columbia,Canada,"Abbotsford, Canada",2,4/26/15 5:41
Austin,Texas,United States,"Austin, United States",0,4/26/15 5:41
Hamburg,Hamburg,Germany,"Hamburg, Germany",0,4/26/15 5:41
Karuizawa,Nagano Prefecture,Japan,"Karuizawa, Japan",25,4/26/15 5:41
New Delhi,Delhi,India,"New Delhi, India",0,4/26/15 5:41
Platteville,Wisconsin,United States,"Platteville, United States",50,4/26/15 5:41
Shah Alam,Selangor,Malaysia,"Shah Alam, Malaysia",1,4/26/15 5:41
Dhaka,Dhaka Division,Bangladesh,"Dhaka, Bangladesh",0,4/26/15 5:42
Fremont,California,United States,"Fremont, United States",2,4/26/15 5:42
Morgan's Point Resort,Texas,United States,"Morgan's Point Resort, United States",17,4/26/15 5:42
Mumbai,Maharashtra,India,"Mumbai, India",0,4/26/15 5:42
Richmond Hill,Ontario,Canada,"Richmond Hill, Canada",3,4/26/15 5:42
Secunderabad,Andhra Pradesh,India,"Secunderabad, India",1,4/26/15 5:42
Tyldesley,England,United Kingdom,"Tyldesley, United Kingdom",25,4/26/15 5:42
Abu Dhabi,Abu Dhabi,United Arab Emirates,"Abu Dhabi, United Arab Emirates",0,4/26/15 5:43
Cologne,North Rhine-Westphalia,Germany,"Cologne, Germany",0,4/26/15 5:43
Glendale,California,United States,"Glendale, United States",2,4/26/15 5:43
Knights Landing,California,United States,"Knights Landing, United States",6,4/26/15 5:43
Bremen,Bremen,Germany,"Bremen, Germany",1,4/26/15 5:44
Hamburg,Hamburg,Germany,"Hamburg, Germany",0,4/26/15 5:44
Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia,"Kuala Lumpur, Malaysia",0,4/26/15 5:44
Pretoria,Gauteng,South Africa,"Pretoria, South Africa",0,4/26/15 5:44
Rio del Mar,California,United States,"Rio del Mar, United States",50,4/26/15 5:44
Visakhapatnam,Andhra Pradesh,India,"Visakhapatnam, India",1,4/26/15 5:44
Winter Garden,Florida,United States,"Winter Garden, United States",14,4/26/15 5:44
Christchurch,Canterbury,New Zealand,"Christchurch, New Zealand",1,4/26/15 5:46
Dundee,Scotland,United Kingdom,"Dundee, United Kingdom",6,4/26/15 5:46
Flin Flon,Manitoba,Canada,"Flin Flon, Canada",9,4/26/15 5:46
Johor Bahru,Johor,Malaysia,"Johor Bahru, Malaysia",0,4/26/15 5:46
Parkville,Missouri,United States,"Parkville, United States",25,4/26/15 5:46
Bellevue,Washington,United States,"Bellevue, United States",2,4/26/15 5:47
Brisbane,Queensland,Australia,"Brisbane, Australia",0,4/26/15 5:47
Calgary,Alberta,Canada,"Calgary, Canada",0,4/26/15 5:47
Lyon,Rhone-Alpes,France,"Lyon, France",0,4/26/15 5:47
Simi Valley,California,United States,"Simi Valley, United States",4,4/26/15 5:47
Ahmedabad,Gujarat,India,"Ahmedabad, India",0,4/26/15 5:48
Aloha,Oregon,United States,"Aloha, United States",4,4/26/15 5:48
Carterton,England,United Kingdom,"Carterton, United Kingdom",6,4/26/15 5:48
Gold Hill,Colorado,United States,"Gold Hill, United States",100,4/26/15 5:48
Lake Forest Park,Washington,United States,"Lake Forest Park, United States",0,4/26/15 5:48
Lincoln,Nebraska,United States,"Lincoln, United States",3,4/26/15 5:48
Mississauga,Ontario,Canada,"Mississauga, Canada",1,4/26/15 5:48
Woodlawn,Maryland,United States,"Woodlawn, United States",17,4/26/15 5:48
Alameda,California,United States,"Alameda, United States",3,4/26/15 5:49
Dubai,Dubai,United Arab Emirates,"Dubai, United Arab Emirates",0,4/26/15 5:49
Hamala,Northern Governorate,Bahrain,"Hamala, Bahrain",33,4/26/15 5:49
Indore,Madhya Pradesh,India,"Indore, India",0,4/26/15 5:49
Krefeld,North Rhine-Westphalia,Germany,"Krefeld, Germany",3,4/26/15 5:49
Midsland,Friesland,Netherlands,"Midsland, Netherlands",100,4/26/15 5:49
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/26/15 5:49
Bangkok,Bangkok,Thailand,"Bangkok, Thailand",0,4/26/15 5:50
Cairns,Queensland,Australia,"Cairns, Australia",2,4/26/15 5:50
Canterbury,England,United Kingdom,"Canterbury, United Kingdom",8,4/26/15 5:50
New Delhi,Delhi,India,"New Delhi, India",0,4/26/15 5:50
Brisbane,Queensland,Australia,"Brisbane, Australia",0,4/26/15 5:51
Chennai,Tamil Nadu,India,"Chennai, India",0,4/26/15 5:51
Fayetteville,Arkansas,United States,"Fayetteville, United States",5,4/26/15 5:51
Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia,"Kuala Lumpur, Malaysia",0,4/26/15 5:51
Mumbai,Maharashtra,India,"Mumbai, India",0,4/26/15 5:51
New Delhi,Delhi,India,"New Delhi, India",0,4/26/15 5:51
Brisbane,Queensland,Australia,"Brisbane, Australia",0,4/26/15 5:53
Dubai,Dubai,United Arab Emirates,"Dubai, United Arab Emirates",0,4/26/15 5:53
Ho Chi Minh City,Ho Chi Minh City,Vietnam,"Ho Chi Minh City, Vietnam",0,4/26/15 5:53
Hoboken,New Jersey,United States,"Hoboken, United States",8,4/26/15 5:53
Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia,"Kuala Lumpur, Malaysia",0,4/26/15 5:53
Nai Mueang,Nong Khai,Thailand,"Nai Mueang, Thailand",7,4/26/15 5:53
Surabaya,East Java,Indonesia,"Surabaya, Indonesia",0,4/26/15 5:53
Abu Dhabi,Abu Dhabi,United Arab Emirates,"Abu Dhabi, United Arab Emirates",0,4/26/15 5:54
Milan,Lombardy,Italy,"Milan, Italy",0,4/26/15 5:54
St. Louis,Missouri,United States,"St. Louis, United States",1,4/26/15 5:54
Irvine,California,United States,"Irvine, United States",1,4/26/15 5:58
Jakarta,Jakarta,Indonesia,"Jakarta, Indonesia",0,4/26/15 5:58
Seasalter,England,United Kingdom,"Seasalter, United Kingdom",25,4/26/15 5:58
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/26/15 5:58
Toronto,Ontario,Canada,"Toronto, Canada",0,4/26/15 5:58
Canberra,Australian Capital Territory,Australia,"Canberra, Australia",0,4/26/15 5:59
Jakarta,Jakarta,Indonesia,"Jakarta, Indonesia",0,4/26/15 5:59
Shinjuku,Tokyo,Japan,"Shinjuku, Japan",0,4/26/15 5:59
Brisbane,Queensland,Australia,"Brisbane, Australia",0,4/26/15 6:00
Hyderabad,Andhra Pradesh,India,"Hyderabad, India",0,4/26/15 6:00
Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia,"Kuala Lumpur, Malaysia",0,4/26/15 6:00
Melbourne,Victoria,Australia,"Melbourne, Australia",0,4/26/15 6:00
Arrasate,Basque Country,Spain,"Arrasate, Spain",33,4/26/15 6:01
Chiba,Chiba Prefecture,Japan,"Chiba, Japan",0,4/26/15 6:01
Melbourne,Victoria,Australia,"Melbourne, Australia",0,4/26/15 6:01
Mirzapur,Uttar Pradesh,India,"Mirzapur, India",100,4/26/15 6:01
Stanford,California,United States,"Stanford, United States",9,4/26/15 6:01
Vancouver,Washington,United States,"Vancouver, United States",1,4/26/15 6:01
Luton,England,United Kingdom,"Luton, United Kingdom",4,4/26/15 6:03
Hamburg,Hamburg,Germany,"Hamburg, Germany",0,4/26/15 6:04
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 6:04
Melbourne,Victoria,Australia,"Melbourne, Australia",0,4/26/15 6:04
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/26/15 6:04
Adelaide,South Australia,Australia,"Adelaide, Australia",0,4/26/15 6:05
Brussels,Brussels,Belgium,"Brussels, Belgium",0,4/26/15 6:05
Fukuyama,Hiroshima Prefecture,Japan,"Fukuyama, Japan",3,4/26/15 6:05
Graton,California,United States,"Graton, United States",11,4/26/15 6:05
Howrah,West Bengal,India,"Howrah, India",0,4/26/15 6:05
Kochi,Kerala,India,"Kochi, India",1,4/26/15 6:05
Seattle,Washington,United States,"Seattle, United States",0,4/26/15 6:05
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/26/15 6:05
Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia,"Kuala Lumpur, Malaysia",0,4/26/15 6:06
Lompoc,California,United States,"Lompoc, United States",14,4/26/15 6:06
Oberursel,Hesse,Germany,"Oberursel, Germany",8,4/26/15 6:06
Dubai,Dubai,United Arab Emirates,"Dubai, United Arab Emirates",0,4/26/15 6:08
Gold Coast,Queensland,Australia,"Gold Coast, Australia",1,4/26/15 6:08
Littlebourne,England,United Kingdom,"Littlebourne, United Kingdom",100,4/26/15 6:08
Swisttal,North Rhine-Westphalia,Germany,"Swisttal, Germany",50,4/26/15 6:08
Vancouver,British Columbia,Canada,"Vancouver, Canada",0,4/26/15 6:08
Værløse,Capital Region of Denmark,Denmark,"Værløse, Denmark",25,4/26/15 6:09
Bangkok,Bangkok,Thailand,"Bangkok, Thailand",0,4/26/15 6:09
Bharatpur,Central Region,Nepal,"Bharatpur, Nepal",14,4/26/15 6:09
Irvine,California,United States,"Irvine, United States",1,4/26/15 6:09
Mumbai,Maharashtra,India,"Mumbai, India",0,4/26/15 6:09
New Delhi,Delhi,India,"New Delhi, India",0,4/26/15 6:09
New Okhla Industrial Development Area,Uttar Pradesh,India,"New Okhla Industrial Development Area, India",1,4/26/15 6:09
San Luis Potosi,San Luis Potosi,Mexico,"San Luis Potosi, Mexico",1,4/26/15 6:09
South Hetton,England,United Kingdom,"South Hetton, United Kingdom",13,4/26/15 6:09
Sunnyvale,California,United States,"Sunnyvale, United States",1,4/26/15 6:09
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/26/15 6:09
Welwyn Garden City,England,United Kingdom,"Welwyn Garden City, United Kingdom",25,4/26/15 6:09
Winnersh,England,United Kingdom,"Winnersh, United Kingdom",50,4/26/15 6:09
Kathmandu,Central Region,Nepal,"Kathmandu, Nepal",1,4/26/15 6:10
Kuta,Bali,Indonesia,"Kuta, Indonesia",0,4/26/15 6:10
Nakhon Si Thammarat,Nakhon Si Thammarat,Thailand,"Nakhon Si Thammarat, Thailand",3,4/26/15 6:10
New Delhi,Delhi,India,"New Delhi, India",0,4/26/15 6:10
Pune,Maharashtra,India,"Pune, India",0,4/26/15 6:10
Redmond,Washington,United States,"Redmond, United States",2,4/26/15 6:10
Rome,Lazio,Italy,"Rome, Italy",0,4/26/15 6:10
Vancouver,British Columbia,Canada,"Vancouver, Canada",0,4/26/15 6:10
Dhaka,Dhaka Division,Bangladesh,"Dhaka, Bangladesh",0,4/26/15 6:11
Dubai,Dubai,United Arab Emirates,"Dubai, United Arab Emirates",0,4/26/15 6:11
Hambleton,England,United Kingdom,"Hambleton, United Kingdom",2,4/26/15 6:11
Johor Bahru,Johor,Malaysia,"Johor Bahru, Malaysia",0,4/26/15 6:11
Yangon,Yangon Region,Myanma,"Yangon, Myanma",0,4/26/15 6:11
Chicago,Illinois,United States,"Chicago, United States",0,4/26/15 6:14
Houston,Texas,United States,"Houston, United States",0,4/26/15 6:14
Klang,Selangor,Malaysia,"Klang, Malaysia",1,4/26/15 6:14
New Delhi,Delhi,India,"New Delhi, India",0,4/26/15 6:14
San Tan Valley,Arizona,United States,"San Tan Valley, United States",6,4/26/15 6:14
Wellington,Wellington,New Zealand,"Wellington, New Zealand",1,4/26/15 6:14
Adelaide,South Australia,Australia,"Adelaide, Australia",0,4/26/15 6:15
Broadstairs,England,United Kingdom,"Broadstairs, United Kingdom",25,4/26/15 6:15
Norwich,England,United Kingdom,"Norwich, United Kingdom",2,4/26/15 6:15
Siliguri,West Bengal,India,"Siliguri, India",4,4/26/15 6:15
Basel,Basel-Stadt,Switzerland,"Basel, Switzerland",2,4/26/15 6:16
Bhopal,Madhya Pradesh,India,"Bhopal, India",0,4/26/15 6:16
Brisbane,Queensland,Australia,"Brisbane, Australia",0,4/26/15 6:16
George Town,Penang,Malaysia,"George Town, Malaysia",1,4/26/15 6:16
Give Municipality,DK-83,Denmark,"Give Municipality, Denmark",17,4/26/15 6:16
Adelaide,South Australia,Australia,"Adelaide, Australia",0,4/26/15 6:17
Auckland,Auckland,New Zealand,"Auckland, New Zealand",0,4/26/15 6:17
Christchurch,Canterbury,New Zealand,"Christchurch, New Zealand",1,4/26/15 6:17
Dhaka,Dhaka Division,Bangladesh,"Dhaka, Bangladesh",0,4/26/15 6:17
Melbourne,Victoria,Australia,"Melbourne, Australia",0,4/26/15 6:17
Rancho Santa Margarita,California,United States,"Rancho Santa Margarita, United States",7,4/26/15 6:17
San Francisco,California,United States,"San Francisco, United States",0,4/26/15 6:17
Dhaka,Dhaka Division,Bangladesh,"Dhaka, Bangladesh",0,4/26/15 6:18
Holt,Wales,United Kingdom,"Holt, United Kingdom",5,4/26/15 6:18
Melbourne,Victoria,Australia,"Melbourne, Australia",0,4/26/15 6:18
Perth,Western Australia,Australia,"Perth, Australia",0,4/26/15 6:18
Shinjuku,Tokyo,Japan,"Shinjuku, Japan",0,4/26/15 6:18
Adelaide,South Australia,Australia,"Adelaide, Australia",0,4/26/15 6:22
Aloha,Oregon,United States,"Aloha, United States",5,4/26/15 6:22
Birmingham,England,United Kingdom,"Birmingham, United Kingdom",1,4/26/15 6:22
Homagama,Western Province,Sri Lanka,"Homagama, Sri Lanka",0,4/26/15 6:22
Legionowo,Masovian Voivodeship,Poland,"Legionowo, Poland",25,4/26/15 6:22
New Delhi,Delhi,India,"New Delhi, India",0,4/26/15 6:22
Quezon City,Metro Manila,Philippines,"Quezon City, Philippines",0,4/26/15 6:22
Townsville,Queensland,Australia,"Townsville, Australia",7,4/26/15 6:22
Berlin,Berlin,Germany,"Berlin, Germany",0,4/26/15 6:23
Parai±aque City,Metro Manila,Philippines,"Parai±aque City, Philippines",1,4/26/15 6:23
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/26/15 6:23
Tsukuba,Ibaraki Prefecture,Japan,"Tsukuba, Japan",2,4/26/15 6:23
Abiko,Chiba Prefecture,Japan,"Abiko, Japan",8,4/26/15 6:24
Kathmandu,Central Region,Nepal,"Kathmandu, Nepal",1,4/26/15 6:24
Lansing,Michigan,United States,"Lansing, United States",10,4/26/15 6:24
Madrid,Community of Madrid,Spain,"Madrid, Spain",0,4/26/15 6:24
Tijuana,Baja California,Mexico,"Tijuana, Mexico",0,4/26/15 6:24
Berkeley,California,United States,"Berkeley, United States",2,4/26/15 6:25
Cleobury Mortimer,England,United Kingdom,"Cleobury Mortimer, United Kingdom",13,4/26/15 6:25
Hudson,Wisconsin,United States,"Hudson, United States",50,4/26/15 6:25
Passau,Bavaria,Germany,"Passau, Germany",2,4/26/15 6:25
Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia,"Kuala Lumpur, Malaysia",0,4/26/15 6:27
Bangalore,Karnataka,India,"Bangalore, India",0,4/26/15 6:29
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 6:29
Melbourne,Victoria,Australia,"Melbourne, Australia",0,4/26/15 6:29
North Battleford,Saskatchewan,Canada,"North Battleford, Canada",25,4/26/15 6:29
Raipura,Bihar,India,"Raipura, India",0,4/26/15 6:29
Rosbach vor der Hohe,Hesse,Germany,"Rosbach vor der Hohe, Germany",25,4/26/15 6:29
Los Angeles,California,United States,"Los Angeles, United States",0,4/26/15 6:31
New Delhi,Delhi,India,"New Delhi, India",0,4/26/15 6:31
Juelsminde,Central Denmark Region,Denmark,"Juelsminde, Denmark",4,4/26/15 6:32
Gurgaon,Haryana,India,"Gurgaon, India",1,4/26/15 6:32
Howrah,West Bengal,India,"Howrah, India",0,4/26/15 6:32
Paris,isle-de-France,France,"Paris, France",0,4/26/15 6:32
Rome,Lazio,Italy,"Rome, Italy",0,4/26/15 6:32
San Diego,California,United States,"San Diego, United States",0,4/26/15 6:32
Santa Clarita,California,United States,"Santa Clarita, United States",2,4/26/15 6:32
Istanbul,Istanbul Province,Turkey,"Istanbul, Turkey",0,4/26/15 6:33
Quetzaltenango,Quetzaltenango,Guatemala,"Quetzaltenango, Guatemala",6,4/26/15 6:33
Ramsgate,England,United Kingdom,"Ramsgate, United Kingdom",25,4/26/15 6:33
San Mateo,California,United States,"San Mateo, United States",3,4/26/15 6:33
Shibuya,Tokyo,Japan,"Shibuya, Japan",0,4/26/15 6:33
Walnut Creek,California,United States,"Walnut Creek, United States",2,4/26/15 6:33
Davao City,Davao Region,Philippines,"Davao City, Philippines",1,4/26/15 6:35
Flin Flon,Manitoba,Canada,"Flin Flon, Canada",25,4/26/15 6:35
Frankenthal,Rhineland-Palatinate,Germany,"Frankenthal, Germany",3,4/26/15 6:35
Longueuil,Quebec,Canada,"Longueuil, Canada",6,4/26/15 6:35
Tangoio,Hawke's Bay,New Zealand,"Tangoio, New Zealand",17,4/26/15 6:35
Dhaka,Dhaka Division,Bangladesh,"Dhaka, Bangladesh",0,4/26/15 6:36
Kilmarnock,Scotland,United Kingdom,"Kilmarnock, United Kingdom",20,4/26/15 6:36
Phnom Penh,Phnom Penh,Cambodia,"Phnom Penh, Cambodia",0,4/26/15 6:36
Secunderabad,Andhra Pradesh,India,"Secunderabad, India",1,4/26/15 6:36
Vine Hill,California,United States,"Vine Hill, United States",8,4/26/15 6:36
Wembley,England,United Kingdom,"Wembley, United Kingdom",5,4/26/15 6:36
Bangkok,Bangkok,Thailand,"Bangkok, Thailand",0,4/26/15 6:38
Cranleigh,England,United Kingdom,"Cranleigh, United Kingdom",6,4/26/15 6:38
Doha,Ad Dawhah,Qatar,"Doha, Qatar",0,4/26/15 6:38
Helsinki,Uusimaa,Finland,"Helsinki, Finland",0,4/26/15 6:38
Howrah,West Bengal,India,"Howrah, India",0,4/26/15 6:38
Limassol,Limassol,Cyprus,"Limassol, Cyprus",1,4/26/15 6:38
Melbourne,Victoria,Australia,"Melbourne, Australia",0,4/26/15 6:38
Minato,Tokyo,Japan,"Minato, Japan",0,4/26/15 6:38
San Francisco,California,United States,"San Francisco, United States",0,4/26/15 6:38
Vancouver,British Columbia,Canada,"Vancouver, Canada",0,4/26/15 6:38
Dautphetal,Hesse,Germany,"Dautphetal, Germany",33,4/26/15 6:39
Dubai,Dubai,United Arab Emirates,"Dubai, United Arab Emirates",0,4/26/15 6:39
Essen,North Rhine-Westphalia,Germany,"Essen, Germany",1,4/26/15 6:39
Laemchabang,Chon Buri,Thailand,"Laemchabang, Thailand",1,4/26/15 6:39
Perth,Western Australia,Australia,"Perth, Australia",0,4/26/15 6:39
Auckland,Auckland,New Zealand,"Auckland, New Zealand",0,4/26/15 6:42
Bangkok,Bangkok,Thailand,"Bangkok, Thailand",0,4/26/15 6:44
Bhakrota,Rajasthan,India,"Bhakrota, India",0,4/26/15 6:44
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 6:44
New Delhi,Delhi,India,"New Delhi, India",0,4/26/15 6:44
Dunedin,Otago,New Zealand,"Dunedin, New Zealand",2,4/26/15 6:46
Memphis,Tennessee,United States,"Memphis, United States",1,4/26/15 6:46
Osaka,Osaka Prefecture,Japan,"Osaka, Japan",0,4/26/15 6:46
Pokhara,Western Region,Nepal,"Pokhara, Nepal",2,4/26/15 6:46
Sutz-Lattrigen,Canton of Bern,Switzerland,"Sutz-Lattrigen, Switzerland",100,4/26/15 6:46
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/26/15 6:46
Al Ain,Abu Dhabi,United Arab Emirates,"Al Ain, United Arab Emirates",1,4/26/15 6:47
Gurgaon,Haryana,India,"Gurgaon, India",0,4/26/15 6:47
Leipzig,Saxony,Germany,"Leipzig, Germany",0,4/26/15 6:47
Alor Setar,Kedah,Malaysia,"Alor Setar, Malaysia",1,4/26/15 6:48
Brisbane,Queensland,Australia,"Brisbane, Australia",0,4/26/15 6:48
Coimbatore,Tamil Nadu,India,"Coimbatore, India",0,4/26/15 6:48
Jeju-si,Jeju-do,South Korea,"Jeju-si, South Korea",4,4/26/15 6:48
Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia,"Kuala Lumpur, Malaysia",0,4/26/15 6:48
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/26/15 6:48
Aalborg,North Denmark Region,Denmark,"Aalborg, Denmark",2,4/26/15 6:49
Dubai,Dubai,United Arab Emirates,"Dubai, United Arab Emirates",0,4/26/15 6:49
Shunan,Yamaguchi Prefecture,Japan,"Shunan, Japan",11,4/26/15 6:49
Frederiksberg,Capital Region of Denmark,Denmark,"Frederiksberg, Denmark",4,4/26/15 6:50
Mahendranagar,Far-Western Region,Nepal,"Mahendranagar, Nepal",100,4/26/15 6:50
Quezon City,Metro Manila,Philippines,"Quezon City, Philippines",0,4/26/15 6:50
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/26/15 6:50
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/26/15 6:53
Toronto,Ontario,Canada,"Toronto, Canada",0,4/26/15 6:53
Brisbane,Queensland,Australia,"Brisbane, Australia",0,4/26/15 6:54
Chandigarh,Chandigarh,India,"Chandigarh, India",0,4/26/15 6:54
Croydon,England,United Kingdom,"Croydon, United Kingdom",1,4/26/15 6:54
Dunedin,Otago,New Zealand,"Dunedin, New Zealand",2,4/26/15 6:54
Fort Worth,Texas,United States,"Fort Worth, United States",1,4/26/15 6:54
Grays,England,United Kingdom,"Grays, United Kingdom",5,4/26/15 6:54
North Anston,England,United Kingdom,"North Anston, United Kingdom",100,4/26/15 6:54
Los Angeles,California,United States,"Los Angeles, United States",0,4/26/15 6:55
Lucknow,Uttar Pradesh,India,"Lucknow, India",0,4/26/15 6:55
Neuss,North Rhine-Westphalia,Germany,"Neuss, Germany",4,4/26/15 6:55
Pokhara,Western Region,Nepal,"Pokhara, Nepal",2,4/26/15 6:55
Doha,Ad Dawhah,Qatar,"Doha, Qatar",0,4/26/15 6:56
Hyderabad,Andhra Pradesh,India,"Hyderabad, India",0,4/26/15 6:56
Norcross,Georgia,United States,"Norcross, United States",8,4/26/15 6:56
Quezon City,Metro Manila,Philippines,"Quezon City, Philippines",0,4/26/15 6:56
Accra,Greater Accra,Ghana,"Accra, Ghana",0,4/26/15 6:58
Canberra,Australian Capital Territory,Australia,"Canberra, Australia",0,4/26/15 6:58
Glendale,California,United States,"Glendale, United States",2,4/26/15 6:58
Lausanne,Vaud,Switzerland,"Lausanne, Switzerland",2,4/26/15 6:58
Rome,Lazio,Italy,"Rome, Italy",0,4/26/15 6:58
Kaltenkirchen,Schleswig-Holstein,Germany,"Kaltenkirchen, Germany",100,4/26/15 6:59
Cookham,England,United Kingdom,"Cookham, United Kingdom",4,4/26/15 7:02
Darjeeling,West Bengal,India,"Darjeeling, India",20,4/26/15 7:02
Dhaka,Dhaka Division,Bangladesh,"Dhaka, Bangladesh",0,4/26/15 7:02
Dusseldorf,North Rhine-Westphalia,Germany,"Dusseldorf, Germany",0,4/26/15 7:02
Hemel Hempstead,England,United Kingdom,"Hemel Hempstead, United Kingdom",3,4/26/15 7:02
Kreuzlingen,Thurgau,Switzerland,"Kreuzlingen, Switzerland",14,4/26/15 7:02
Nepalgunj,Mid-Western Region,Nepal,"Nepalgunj, Nepal",20,4/26/15 7:02
Santa Fe,New Mexico,United States,"Santa Fe, United States",11,4/26/15 7:02
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/26/15 7:02
Brisbane,Queensland,Australia,"Brisbane, Australia",0,4/26/15 7:03
Halle,Saxony-Anhalt,Germany,"Halle, Germany",1,4/26/15 7:03
Howrah,West Bengal,India,"Howrah, India",0,4/26/15 7:03
Karachi,Sindh,Pakistan,"Karachi, Pakistan",0,4/26/15 7:03
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 7:03
Melbourne,Victoria,Australia,"Melbourne, Australia",0,4/26/15 7:03
Brisbane,Queensland,Australia,"Brisbane, Australia",0,4/26/15 7:04
Merignat,Rhone-Alpes,France,"Merignat, France",25,4/26/15 7:04
San Jose,San Jose,Costa Rica,"San Jose, Costa Rica",1,4/26/15 7:04
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/26/15 7:04
